iter	Passed	Remaining
0	11	4640
1	17	3690
2	24	3319
3	29	3037
4	34	2855
5	40	2744
6	46	2689
7	53	2690
8	61	2758
9	68	2773
10	76	2796
11	84	2836
12	91	2832
13	98	2826
14	104	2791
15	112	2805
16	118	2777
17	126	2789
18	132	2756
19	137	2711
20	144	2707
21	149	2666
22	154	2633
23	160	2615
24	165	2582
25	171	2557
26	177	2540
27	182	2514
28	187	2488
29	194	2494
30	199	2470
31	205	2453
32	206	2385
33	211	2369
34	216	2348
35	223	2346
36	229	2341
37	234	2322
38	240	2316
39	245	2298
40	250	2280
41	256	2275
42	262	2261
43	266	2244
44	273	2239
45	278	2231
46	283	2216
47	290	2215
48	295	2199
49	300	2186
50	306	2183
51	312	2174
52	317	2160
53	323	2157
54	328	2145
55	333	2133
56	339	2129
57	344	2116
58	349	2105
59	356	2104
60	361	2093
61	366	2081
62	372	2077
63	378	2067
64	382	2055
65	389	2056
66	394	2045
67	400	2035
68	407	2035
69	412	2026
70	417	2016
71	423	2010
72	428	2001
73	433	1991
74	439	1987
75	444	1977
76	449	1969
77	456	1964
78	461	1954
79	466	1946
80	472	1941
81	477	1933
82	482	1924
83	489	1921
84	494	1913
85	499	1905
86	506	1903
87	511	1894
88	517	1888
89	523	1884
90	529	1879
91	535	1874
92	541	1867
93	546	1858
94	552	1854
95	557	1846
96	562	1838
97	568	1834
98	574	1826
99	578	1817
100	584	1812
101	589	1803
102	594	1796
103	600	1790
104	606	1783
105	611	1776
106	617	1773
107	623	1767
108	628	1759
109	634	1754
110	640	1747
111	645	1740
112	651	1735
113	656	1728
114	661	1720
115	667	1715
116	673	1709
117	678	1701
118	684	1697
119	689	1689
120	694	1682
121	701	1678
122	706	1670
123	711	1663
124	717	1659
125	723	1653
126	728	1646
127	734	1641
128	739	1634
129	744	1627
130	751	1623
131	756	1616
132	761	1608
133	767	1603
134	772	1597
135	777	1589
136	784	1586
137	789	1578
138	794	1571
139	800	1567
140	805	1560
141	811	1553
142	818	1550
143	823	1544
144	828	1537
145	834	1531
146	839	1524
147	844	1517
148	851	1513
149	855	1506
150	861	1500
151	866	1494
152	871	1487
153	876	1480
154	883	1475
155	887	1468
156	892	1461
157	899	1458
158	904	1451
159	909	1444
160	915	1439
161	921	1433
162	926	1426
163	934	1424
164	939	1417
165	945	1412
166	950	1406
167	955	1399
168	961	1394
169	967	1388
170	972	1382
