,zip code,state,city
0,29590,SC,Salters
1,93306,CA,Bakersfield
2,93660,CA,San Joaquin
3,93110,CA,Santa Barbara
4,93212,CA,Corcoran
5,14895,NY,Wellsville
6,14006,NY,Angola
7,67514,KS,Arlington
8,67844,KS,Fowler
9,67861,KS,Leoti
10,67212,KS,Wichita
11,67567,KS,Pawnee Rock
12,67576,KS,St John
13,45237,OH,Cincinnati
14,45788,OH,Whipple
15,45819,OH,Buckland
16,83824,ID,Desmet
17,83641,ID,Melba
18,83312,ID,Almo
19,85016,AZ,Phoenix
20,85029,AZ,Phoenix
21,85325,AZ,Bouse
22,85701,AZ,Tucson
23,85015,AZ,Phoenix
24,84028,UT,Garden City
25,84106,UT,Salt Lake City
26,84003,UT,American Fork
27,84014,UT,Centerville
28,84115,UT,Salt Lake City
29,84064,UT,Randolph
30,84032,UT,Heber City
31,84108,UT,Salt Lake City
32,84601,UT,Provo
33,93001,CA,Ventura
34,93234,CA,Huron
35,93307,CA,Bakersfield
36,93536,CA,Lancaster
37,93546,CA,Mammoth Lakes
38,93669,CA,Wishon
39,93701,CA,Fresno
40,93664,CA,Shaver Lake
41,93218,CA,Ducor
42,93260,CA,Posey
43,93612,CA,Clovis
44,93621,CA,Dunlap
45,14031,NY,Clarence
46,67210,KS,Wichita
47,67219,KS,Wichita
48,67515,KS,Arnold
49,67522,KS,Buhler
50,67867,KS,Montezuma
51,67871,KS,Scott City
52,67220,KS,Wichita
53,67226,KS,Wichita
54,67230,KS,Wichita
55,67601,KS,Hays
56,67635,KS,Dresden
57,13420,NY,Old Forge
58,13602,NY,Fort Drum
59,13635,NY,Edwards
60,13642,NY,Gouverneur
61,13654,NY,Heuvelton
62,13656,NY,La Fargeville
63,13659,NY,Lorraine
64,13660,NY,Madrid
65,13669,NY,Ogdensburg
66,52060,IA,Maquoketa
67,52064,IA,Miles
68,52077,IA,Volga
69,52144,IA,Fort Atkinson
70,52159,IA,Monona
71,52160,IA,New Albin
72,52041,IA,Earlville
73,52163,IA,Protivin
74,52172,IA,Waukon
75,52201,IA,Ainsworth
76,52206,IA,Atkins
77,52222,IA,Deep River
78,52241,IA,Coralville
79,52246,IA,Iowa City
80,52253,IA,Lisbon
81,52301,IA,Marengo
82,52307,IA,Middle Amana
83,52316,IA,North English
84,52066,IA,North Buena Vista
85,52166,IA,Saint Lucas
86,52211,IA,Brooklyn
87,52219,IA,Prairieburg
88,52314,IA,Mount Vernon
89,52359,IA,West Chester
90,52560,IA,Floris
91,52318,IA,Norway
92,52338,IA,Swisher
93,52342,IA,Toledo
94,52354,IA,Watkins
95,52401,IA,Cedar Rapids
96,52501,IA,Ottumwa
97,52306,IA,Mechanicsville
98,52356,IA,Wellman
99,52655,IA,West Burlington
100,52212,IA,Center Junction
101,52313,IA,Mount Auburn
102,52355,IA,Webster
103,52158,IA,Marquette
104,52345,IA,Urbana
105,52349,IA,Vinton
106,60062,IL,Northbrook
107,60074,IL,Palatine
108,60085,IL,Waukegan
109,60097,IL,Wonder Lake
110,60104,IL,Bellwood
111,60113,IL,Creston
112,60120,IL,Elgin
113,01079,MA,Thorndike
114,01086,MA,Westfield
115,01093,MA,Whately
116,01094,MA,Wheelwright
117,01097,MA,Woronoco
118,01199,MA,Springfield
119,01224,MA,Berkshire
120,01229,MA,Glendale
121,01243,MA,Middlefield
122,01260,MA,South Lee
123,01270,MA,Windsor
124,01343,MA,Drury
125,01347,MA,Lake Pleasant
126,01354,MA,Gill
127,01434,MA,Devens
128,01525,MA,Linwood
129,01561,MA,South Lancaster
130,01901,MA,Lynn
131,01937,MA,Hathorne
132,01089,MA,West Springfield
133,01259,MA,Southfield
134,01507,MA,Charlton
135,01581,MA,Westborough
136,22712,VA,Bealeton
137,22714,VA,Brandy Station
138,22443,VA,Colonial Beach
139,22454,VA,Dunnsville
140,22473,VA,Heathsville
141,22553,VA,Spotsylvania
142,22560,VA,Tappahannock
143,73014,OK,Calumet
144,73016,OK,Cashion
145,73018,OK,Chickasha
146,43212,OH,Columbus
147,43214,OH,Columbus
148,43215,OH,Columbus
149,43223,OH,Columbus
150,43229,OH,Columbus
151,43231,OH,Columbus
152,43232,OH,Columbus
153,43235,OH,Columbus
154,43302,OH,Marion
155,43138,OH,Logan
156,43144,OH,Murray City
157,43240,OH,Columbus
158,43310,OH,Belle Center
159,43324,OH,Huntsville
160,43342,OH,Prospect
161,43345,OH,Ridgeway
162,43347,OH,Rushsylvania
163,43359,OH,Wharton
164,43408,OH,Clay Center
165,43450,OH,Pemberville
166,43451,OH,Portage
167,43460,OH,Rossford
168,92394,CA,Victorville
169,92544,CA,Hemet
170,92067,CA,Rancho Santa Fe
171,92250,CA,Holtville
172,92364,CA,Nipton
173,92545,CA,Hemet
174,92626,CA,Costa Mesa
175,74080,OK,Talala
176,74033,OK,Glenpool
177,74045,OK,Maramec
178,74047,OK,Mounds
179,74083,OK,Wann
180,74001,OK,Avant
181,74008,OK,Bixby
182,74030,OK,Drumright
183,74032,OK,Glencoe
184,74034,OK,Hallett
185,18240,PA,Nesquehoning
186,18255,PA,Weatherly
187,18301,PA,East Stroudsburg
188,18332,PA,Henryville
189,18343,PA,Mount Bethel
190,18439,PA,Lakewood
191,18458,PA,Shohola
192,18459,PA,South Canaan
193,18503,PA,Scranton
194,18509,PA,Scranton
195,18512,PA,Scranton
196,18657,PA,Tunkhannock
197,18702,PA,Wilkes Barre
198,18705,PA,Wilkes Barre
199,18814,PA,Burlington
200,18821,PA,Great Bend
201,18822,PA,Hallstead
202,18828,PA,Lawton
203,18832,PA,Monroeton
204,18842,PA,South Gibson
205,18845,PA,Stevensville
206,18847,PA,Susquehanna
207,18854,PA,Wysox
208,18942,PA,Ottsville
209,18944,PA,Perkasie
210,18974,PA,Warminster
211,18938,PA,New Hope
212,18940,PA,Newtown
213,18642,PA,Duryea
214,18655,PA,Shickshinny
215,18660,PA,Wapwallopen
216,18618,PA,Harveys Lake
217,18517,PA,Taylor
218,18603,PA,Berwick
219,18610,PA,Blakeslee
220,18622,PA,Huntington Mills
221,18629,PA,Mehoopany
222,18630,PA,Meshoppen
223,18661,PA,White Haven
224,17949,PA,Mahanoy Plane
225,17954,PA,Minersville
226,17970,PA,Saint Clair
227,17936,PA,Gordon
228,17944,PA,Llewellyn
229,17952,PA,Mary D
230,17982,PA,Tuscarora
231,17983,PA,Valley View
232,17946,PA,Lost Creek
233,17957,PA,Muir
234,17968,PA,Sacramento
235,17003,PA,Annville
236,17007,PA,Boiling Springs
237,17013,PA,Carlisle
238,17018,PA,Dauphin
239,17023,PA,Elizabethville
240,17026,PA,Fredericksburg
241,17037,PA,Ickesburg
242,17045,PA,Liverpool
243,17066,PA,Mount Union
244,17070,PA,New Cumberland
245,17077,PA,Ono
246,17229,PA,Hustontown
247,17235,PA,Marion
248,17241,PA,Newville
249,17264,PA,Three Springs
250,17270,,
251,17306,PA,Bendersville
252,17331,PA,Hanover
253,17350,PA,New Oxford
254,17362,PA,Spring Grove
255,17363,PA,Stewartstown
256,17368,PA,Wrightsville
257,17402,PA,York
258,17407,PA,York
259,17508,PA,Brownstown
260,17527,PA,Gap
261,17529,PA,Gordonville
262,17560,PA,New Providence
263,17578,PA,Stevens
264,17581,PA,Terre Hill
265,17731,PA,Eagles Mere
266,17747,PA,Loganton
267,17767,,
268,17777,PA,Watsontown
269,17778,PA,Westport
270,17824,PA,Elysburg
271,17881,PA,Trevorton
272,17931,PA,Frackville
273,17951,PA,Mar Lin
274,17963,PA,Pine Grove
275,17979,PA,Summit Station
276,17356,PA,Red Lion
277,17364,PA,Thomasville
278,17372,PA,York Springs
279,17401,PA,York
280,17404,PA,York
281,04920,ME,Bingham
282,04927,ME,Clinton
283,04936,ME,Eustis
284,04942,ME,Harmony
285,04945,ME,Jackman
286,04957,ME,Norridgewock
287,04963,ME,Oakland
288,04543,ME,Damariscotta
289,04579,ME,Woolwich
290,04642,ME,Harborside
291,04652,ME,Lubec
292,04654,ME,Machias
293,04660,ME,Mount Desert
294,04669,ME,Prospect Harbor
295,04758,ME,Mars Hill
296,04765,ME,Patten
297,04848,ME,Islesboro
298,04849,ME,Lincolnville
299,04911,ME,Anson
300,04947,ME,Kingfield
301,04961,ME,New Portland
302,04779,ME,Sinclair
303,73032,OK,Dougherty
304,73040,OK,Geary
305,73057,OK,Maysville
306,73622,OK,Bessie
307,73626,OK,Canute
308,73638,OK,Crawford
309,73642,OK,Durham
310,73660,OK,Reydon
311,73661,OK,Rocky
312,73663,OK,Seiling
313,73673,OK,Willow
314,73728,OK,Cherokee
315,73735,OK,Drummond
316,73743,OK,Hillsdale
317,73746,OK,Hopeton
318,73750,OK,Kingfisher
319,73507,OK,Lawton
320,73528,OK,Chattanooga
321,73532,OK,Duke
322,73533,OK,Duncan
323,73543,OK,Geronimo
324,73567,OK,Sterling
325,73570,OK,Tipton
326,73573,OK,Waurika
327,73627,OK,Carter
328,73644,OK,Elk City
329,73659,OK,Putnam
330,73729,OK,Cleo Springs
331,73731,OK,Dacoma
332,73737,OK,Fairview
333,73757,OK,Lucien
334,73758,OK,Manchester
335,73801,OK,Woodward
